"dose_log","pE_cond","pT","neutral","success","toxicity","scenario","dgp"
-0.23,7.30754939176861e-05,2.42854244380409e-166,0.999926924506082,7.30754939176861e-05,2.42854244380409e-166,"C","Misspecification 1: probit/probit"
0.92,0.00612395463554043,9.42325794794915e-120,0.99387604536446,0.00612395463554043,9.42325794794915e-120,"C","Misspecification 1: probit/probit"
2.02,0.102306156540905,1.97866927480795e-82,0.897693843459095,0.102306156540905,1.97866927480795e-82,"C","Misspecification 1: probit/probit"
3,0.433685024462384,3.87501404258826e-55,0.566314975537616,0.433685024462384,3.87501404258826e-55,"C","Misspecification 1: probit/probit"
3.69,0.728591937705051,2.75219453837523e-39,0.271408062294949,0.728591937705051,2.75219453837523e-39,"C","Misspecification 1: probit/probit"
4.38,0.916839143058014,3.28225733219839e-26,0.0831608569419859,0.916839143058014,3.28225733219839e-26,"C","Misspecification 1: probit/probit"
5.08,0.985031389889859,9.02337456946e-16,0.0149686101101408,0.985031389889858,9.02337456946e-16,"C","Misspecification 1: probit/probit"
5.77,0.998392933982014,2.99633071032362e-08,0.00160706596983287,0.99839290406686,2.99633071032362e-08,"C","Misspecification 1: probit/probit"
-1.2,0.900952855930373,0.00136146588045495,0.09891229476242,0.899726239357125,0.00136146588045495,"D","Misspecification 1: probit/probit"
-0.23,0.920471472273518,0.0353647711658391,0.0767160195422793,0.887919209291882,0.0353647711658391,"D","Misspecification 1: probit/probit"
0.92,0.939668888195924,0.345993498878128,0.0394569393397765,0.614549561782095,0.345993498878128,"D","Misspecification 1: probit/probit"
2.02,0.954438174069171,0.829841730282509,0.00775272146555929,0.162405548251931,0.829841730282509,"D","Misspecification 1: probit/probit"
3,0.965006901748058,0.984458167422098,0.000543856874413734,0.0149979757034878,0.984458167422098,"D","Misspecification 1: probit/probit"
3.69,0.97116842145413,0.998661711855052,3.8584959768087e-05,0.00129970318518032,0.998661711855052,"D","Misspecification 1: probit/probit"
4.38,0.976399935955691,0.999940762399508,1.39801116544976e-06,5.78395893268625e-05,0.999940762399508,"D","Misspecification 1: probit/probit"
5.08,0.980867279402322,0.999998750185654,2.39123486770458e-08,1.22590199711692e-06,0.999998750185654,"D","Misspecification 1: probit/probit"
